stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0,00000] opening C:\Users\muril\PI_2_GAME\x64\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0,12733] added dtor for sub_bitmap 000001B521431F70, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12745] added dtor for sub_bitmap 000001B521432B10, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12750] added dtor for sub_bitmap 000001B5214332D0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12754] added dtor for sub_bitmap 000001B5214319A0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12757] added dtor for sub_bitmap 000001B521431B90, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12759] added dtor for sub_bitmap 000001B521432EF0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12762] added dtor for sub_bitmap 000001B5214334C0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12765] added dtor for sub_bitmap 000001B521432730, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12770] added dtor for sub_bitmap 000001B5214336B0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12772] added dtor for sub_bitmap 000001B521432920, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12776] added dtor for sub_bitmap 000001B521431D80, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12780] added dtor for sub_bitmap 000001B521432160, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12782] added dtor for sub_bitmap 000001B521432D00, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12786] added dtor for sub_bitmap 000001B521432350, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12789] added dtor for sub_bitmap 000001B521432540, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12792] added dtor for sub_bitmap 000001B5214330E0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12796] added dtor for sub_bitmap 000001B521435750, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12798] added dtor for sub_bitmap 000001B521435F10, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12801] added dtor for sub_bitmap 000001B521436100, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12805] added dtor for sub_bitmap 000001B5214362F0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12808] added dtor for sub_bitmap 000001B5214364E0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12812] added dtor for sub_bitmap 000001B521434DA0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12815] added dtor for sub_bitmap 000001B5214349C0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12819] added dtor for sub_bitmap 000001B521435940, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12823] added dtor for sub_bitmap 000001B5214366D0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12826] added dtor for sub_bitmap 000001B521435180, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12829] added dtor for sub_bitmap 000001B521434F90, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12833] added dtor for sub_bitmap 000001B521435560, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12837] added dtor for sub_bitmap 000001B521434BB0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12840] added dtor for sub_bitmap 000001B521435B30, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12843] added dtor for sub_bitmap 000001B521435370, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12846] added dtor for sub_bitmap 000001B521435D20, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12851] added dtor for sub_bitmap 000001B521438580, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12855] added dtor for sub_bitmap 000001B5214381A0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12858] added dtor for sub_bitmap 000001B521437FB0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12861] added dtor for sub_bitmap 000001B521438F30, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12865] added dtor for sub_bitmap 000001B521439310, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12868] added dtor for sub_bitmap 000001B521438B50, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12872] added dtor for sub_bitmap 000001B521437DC0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12876] added dtor for sub_bitmap 000001B521438D40, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12879] added dtor for sub_bitmap 000001B521439500, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12882] added dtor for sub_bitmap 000001B521438390, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12885] added dtor for sub_bitmap 000001B521438770, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12887] added dtor for sub_bitmap 000001B521439120, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12890] added dtor for sub_bitmap 000001B5214396F0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12893] added dtor for sub_bitmap 000001B5214379E0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12896] added dtor for sub_bitmap 000001B521438960, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12899] added dtor for sub_bitmap 000001B521437BD0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12904] added dtor for sub_bitmap 000001B52143A970, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12910] added dtor for sub_bitmap 000001B52143A590, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12913] added dtor for sub_bitmap 000001B52143AB60, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12917] added dtor for sub_bitmap 000001B52143AD50, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12922] added dtor for sub_bitmap 000001B52143AF40, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12926] added dtor for sub_bitmap 000001B52143B510, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12931] added dtor for sub_bitmap 000001B52143B320, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12935] added dtor for sub_bitmap 000001B5214399F0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12938] added dtor for sub_bitmap 000001B52143A780, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12942] added dtor for sub_bitmap 000001B52143B700, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12945] added dtor for sub_bitmap 000001B521439BE0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12949] added dtor for sub_bitmap 000001B52143B130, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12951] added dtor for sub_bitmap 000001B521439DD0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12954] added dtor for sub_bitmap 000001B521439FC0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12957] added dtor for sub_bitmap 000001B52143A1B0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12960] added dtor for sub_bitmap 000001B52143A3A0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12964] added dtor for sub_bitmap 000001B52143E3D0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12966] added dtor for sub_bitmap 000001B52143E7B0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12969] added dtor for sub_bitmap 000001B52143DFF0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12972] added dtor for sub_bitmap 000001B52143E9A0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12974] added dtor for sub_bitmap 000001B52143ED80, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12977] added dtor for sub_bitmap 000001B52143E5C0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12980] added dtor for sub_bitmap 000001B52143EF70, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12983] added dtor for sub_bitmap 000001B52143EB90, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12986] added dtor for sub_bitmap 000001B52143F160, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12989] added dtor for sub_bitmap 000001B52143F350, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12992] added dtor for sub_bitmap 000001B52143E1E0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12995] added dtor for sub_bitmap 000001B52143F540, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,12998] added dtor for sub_bitmap 000001B52143F730, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13002] added dtor for sub_bitmap 000001B52143DA20, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13008] added dtor for sub_bitmap 000001B52143DE00, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13013] added dtor for sub_bitmap 000001B52143DC10, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13019] added dtor for sub_bitmap 000001B521443640, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13023] added dtor for sub_bitmap 000001B52143FA30, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13026] added dtor for sub_bitmap 000001B521441170, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13030] added dtor for sub_bitmap 000001B52143FE10, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13034] added dtor for sub_bitmap 000001B5214424D0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13038] added dtor for sub_bitmap 000001B5214401F0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13042] added dtor for sub_bitmap 000001B521443260, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13047] added dtor for sub_bitmap 000001B5214403E0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13051] added dtor for sub_bitmap 000001B521443450, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13055] added dtor for sub_bitmap 000001B521442AA0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13061] added dtor for sub_bitmap 000001B521440BA0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13068] added dtor for sub_bitmap 000001B5214405D0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13072] added dtor for sub_bitmap 000001B5214407C0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13076] added dtor for sub_bitmap 000001B521442C90, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13080] added dtor for sub_bitmap 000001B52143FC20, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13084] added dtor for sub_bitmap 000001B521441930, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13088] added dtor for sub_bitmap 000001B521440D90, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13096] added dtor for sub_bitmap 000001B5214422E0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13103] added dtor for sub_bitmap 000001B521441360, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13107] added dtor for sub_bitmap 000001B5214420F0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13111] added dtor for sub_bitmap 000001B521440000, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13115] added dtor for sub_bitmap 000001B5214409B0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13121] added dtor for sub_bitmap 000001B521442E80, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13125] added dtor for sub_bitmap 000001B5214426C0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13129] added dtor for sub_bitmap 000001B521443070, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13133] added dtor for sub_bitmap 000001B521440F80, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13138] added dtor for sub_bitmap 000001B521441550, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13144] added dtor for sub_bitmap 000001B521441740, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13149] added dtor for sub_bitmap 000001B521441B20, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13153] added dtor for sub_bitmap 000001B521441D10, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13157] added dtor for sub_bitmap 000001B521441F00, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13162] added dtor for sub_bitmap 000001B5214428B0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13169] added dtor for sub_bitmap 000001B521448960, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13175] added dtor for sub_bitmap 000001B521448B50, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13179] added dtor for sub_bitmap 000001B5214481A0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13185] added dtor for sub_bitmap 000001B521448390, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13189] added dtor for sub_bitmap 000001B521447030, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13193] added dtor for sub_bitmap 000001B521448F30, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13197] added dtor for sub_bitmap 000001B521449AD0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13201] added dtor for sub_bitmap 000001B521447DC0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13205] added dtor for sub_bitmap 000001B521449CC0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13209] added dtor for sub_bitmap 000001B521447FB0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13213] added dtor for sub_bitmap 000001B52144A480, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13217] added dtor for sub_bitmap 000001B521447220, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13220] added dtor for sub_bitmap 000001B521446C50, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13226] added dtor for sub_bitmap 000001B52144A670, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13230] added dtor for sub_bitmap 000001B521448D40, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13235] added dtor for sub_bitmap 000001B521449120, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13239] added dtor for sub_bitmap 000001B521446A60, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13243] added dtor for sub_bitmap 000001B521447410, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13249] added dtor for sub_bitmap 000001B521449500, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13255] added dtor for sub_bitmap 000001B521446E40, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13258] added dtor for sub_bitmap 000001B521447600, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13263] added dtor for sub_bitmap 000001B521449310, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13269] added dtor for sub_bitmap 000001B5214477F0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13273] added dtor for sub_bitmap 000001B5214496F0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13277] added dtor for sub_bitmap 000001B52144A290, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13286] added dtor for sub_bitmap 000001B5214498E0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13299] added dtor for sub_bitmap 000001B521449EB0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13305] added dtor for sub_bitmap 000001B52144A0A0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13310] added dtor for sub_bitmap 000001B521448580, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13314] added dtor for sub_bitmap 000001B5214479E0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13319] added dtor for sub_bitmap 000001B521447BD0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13323] added dtor for sub_bitmap 000001B521448770, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13336] added dtor for sub_bitmap 000001B52144D980, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13342] added dtor for sub_bitmap 000001B52144F2B0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13352] added dtor for sub_bitmap 000001B52144F690, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13358] added dtor for sub_bitmap 000001B52144BA80, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13363] added dtor for sub_bitmap 000001B52144D1C0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13376] added dtor for sub_bitmap 000001B52144BE60, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13389] added dtor for sub_bitmap 000001B52144E520, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13394] added dtor for sub_bitmap 000001B52144C240, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13398] added dtor for sub_bitmap 000001B52144F4A0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13402] added dtor for sub_bitmap 000001B52144C430, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13408] added dtor for sub_bitmap 000001B52144CBF0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13413] added dtor for sub_bitmap 000001B52144CA00, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13419] added dtor for sub_bitmap 000001B52144CDE0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13424] added dtor for sub_bitmap 000001B52144C620, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13428] added dtor for sub_bitmap 000001B52144C810, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13433] added dtor for sub_bitmap 000001B52144EAF0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13437] added dtor for sub_bitmap 000001B52144BC70, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13441] added dtor for sub_bitmap 000001B52144DB70, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13445] added dtor for sub_bitmap 000001B52144CFD0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13460] added dtor for sub_bitmap 000001B52144E330, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13468] added dtor for sub_bitmap 000001B52144F0C0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13478] added dtor for sub_bitmap 000001B52144D3B0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13483] added dtor for sub_bitmap 000001B52144D5A0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13487] added dtor for sub_bitmap 000001B52144D790, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13492] added dtor for sub_bitmap 000001B52144E140, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13495] added dtor for sub_bitmap 000001B52144DD60, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13498] added dtor for sub_bitmap 000001B52144DF50, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13502] added dtor for sub_bitmap 000001B52144C050, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13509] added dtor for sub_bitmap 000001B52144E710, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13514] added dtor for sub_bitmap 000001B52144ECE0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13518] added dtor for sub_bitmap 000001B52144E900, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13524] added dtor for sub_bitmap 000001B52144EED0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13530] added dtor for sub_bitmap 000001B521457B00, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13535] added dtor for sub_bitmap 000001B521457720, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13541] added dtor for sub_bitmap 000001B5214565B0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13547] added dtor for sub_bitmap 000001B5214540E0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13552] added dtor for sub_bitmap 000001B521456B80, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13556] added dtor for sub_bitmap 000001B5214546B0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13559] added dtor for sub_bitmap 000001B521457340, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13564] added dtor for sub_bitmap 000001B521457150, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13566] added dtor for sub_bitmap 000001B5214548A0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13569] added dtor for sub_bitmap 000001B521457910, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13572] added dtor for sub_bitmap 000001B521453EF0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13575] added dtor for sub_bitmap 000001B521454E70, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13578] added dtor for sub_bitmap 000001B521454A90, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13583] added dtor for sub_bitmap 000001B521456D70, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13587] added dtor for sub_bitmap 000001B521455630, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13591] added dtor for sub_bitmap 000001B5214567A0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13595] added dtor for sub_bitmap 000001B521457530, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13600] added dtor for sub_bitmap 000001B521455060, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13603] added dtor for sub_bitmap 000001B521455250, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13607] added dtor for sub_bitmap 000001B521455440, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13610] added dtor for sub_bitmap 000001B521455820, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13613] added dtor for sub_bitmap 000001B521454C80, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13617] added dtor for sub_bitmap 000001B521455A10, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13620] added dtor for sub_bitmap 000001B5214542D0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13624] added dtor for sub_bitmap 000001B5214544C0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13628] added dtor for sub_bitmap 000001B521455C00, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13631] added dtor for sub_bitmap 000001B521456F60, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13635] added dtor for sub_bitmap 000001B521455DF0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13638] added dtor for sub_bitmap 000001B521455FE0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13640] added dtor for sub_bitmap 000001B521456990, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13643] added dtor for sub_bitmap 000001B5214561D0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13646] added dtor for sub_bitmap 000001B5214563C0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13651] added dtor for sub_bitmap 000001B5214580F0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13654] added dtor for sub_bitmap 000001B52145B920, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13657] added dtor for sub_bitmap 000001B52145BB10, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13661] added dtor for sub_bitmap 000001B52145F910, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13667] added dtor for sub_bitmap 000001B52145DA10, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13671] added dtor for sub_bitmap 000001B52145CA90, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13675] added dtor for sub_bitmap 000001B52145D250, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13678] added dtor for sub_bitmap 000001B52145BD00, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13681] added dtor for sub_bitmap 000001B52145BEF0, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13685] added dtor for sub_bitmap 000001B52145AF70, func 00007FFC182E118B
dtor     D               dtor.c:196  _al_register_destructor          [   0,13688] added dtor for sub_bitmap 000001B52145AD80, func 00007FFC182E118B
